epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,400.497,0.96541,2.02667,3.58479,1.12112,0,0.42394,0.34715,0.32051,0.23772,0.42285,0.3395,0.31347,0.21119,0.87522,1.56479,2.14718,1.11531,0,0.00999209,0.0033307,0.00999209,0.0033307,0.00999209,0.0033307,0.00999209,0.0033307
2,742.992,0.98411,1.87629,2.3664,1.11762,0,0.54133,0.4352,0.46393,0.3359,0.51747,0.43946,0.44863,0.29612,0.91892,1.7091,1.76757,1.13425,0,0.0197942,0.00659806,0.0197942,0.00659806,0.0197942,0.00659806,0.0197942,0.00659806
3,1074.61,1.03018,1.9572,2.13426,1.14187,0,0.49658,0.49215,0.48154,0.32368,0.48267,0.4832,0.46399,0.27918,0.97676,1.74998,1.75674,1.17275,0,0.0293982,0.00979942,0.0293982,0.00979942,0.0293982,0.00979942,0.0293982,0.00979942
4,1399.03,1.04933,1.96092,2.00773,1.15624,0,0.6183,0.53891,0.57725,0.41917,0.60758,0.52551,0.55711,0.36029,0.87616,1.59722,1.37348,1.10927,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1723.18,0.99643,1.87934,1.73728,1.12605,0,0.64928,0.60721,0.64584,0.4688,0.62977,0.5931,0.61575,0.40544,0.85952,1.52601,1.20935,1.09957,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2046.29,0.95375,1.78906,1.54551,1.10504,0,0.73099,0.66903,0.72067,0.54365,0.71606,0.65135,0.69012,0.4712,0.78096,1.35708,0.99874,1.03768,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2368.9,0.92151,1.73834,1.40935,1.08896,0,0.76734,0.71728,0.76709,0.58826,0.74766,0.70166,0.73724,0.51517,0.74039,1.25638,0.84706,1.01074,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2692.81,0.89265,1.68903,1.29599,1.07227,0,0.75466,0.74043,0.78132,0.60306,0.7443,0.71851,0.75051,0.52239,0.72354,1.26216,0.8112,1.00554,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3015.45,0.88306,1.66706,1.23223,1.07195,0,0.81573,0.72952,0.80264,0.62135,0.80555,0.71347,0.77229,0.53472,0.71158,1.2431,0.7688,1.00098,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3338.47,0.86403,1.62475,1.15165,1.05891,0,0.82069,0.77085,0.81885,0.64698,0.80439,0.75321,0.78749,0.55881,0.67551,1.18345,0.69597,0.96881,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3661.24,0.85077,1.60601,1.10638,1.05041,0,0.83651,0.77491,0.83432,0.66009,0.82477,0.75822,0.80366,0.57295,0.66769,1.15059,0.67305,0.96667,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3983.18,0.83568,1.59937,1.07115,1.04445,0,0.83027,0.79042,0.84423,0.66929,0.81329,0.77182,0.8113,0.58206,0.65254,1.13191,0.63774,0.95879,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4305.11,0.82342,1.56246,1.03317,1.03817,0,0.84955,0.79021,0.8502,0.67583,0.83074,0.7744,0.81757,0.58855,0.65279,1.12132,0.62324,0.95992,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4625.34,0.81017,1.54439,0.98996,1.03005,0,0.85902,0.81096,0.86215,0.69086,0.84141,0.79483,0.83023,0.60077,0.64008,1.09662,0.59195,0.95052,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4943.92,0.80126,1.52705,0.96093,1.02619,0,0.87153,0.81841,0.87051,0.70198,0.85356,0.80159,0.83634,0.60629,0.62402,1.07491,0.55596,0.94335,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5276.78,0.7904,1.4996,0.93399,1.01769,0,0.86793,0.81883,0.8704,0.70386,0.85391,0.79866,0.83768,0.60658,0.62068,1.07731,0.54873,0.93791,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5602.89,0.78521,1.48324,0.91227,1.01536,0,0.86574,0.82614,0.87604,0.71131,0.85562,0.80321,0.84338,0.61503,0.60924,1.05747,0.53551,0.93255,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5937.99,0.78093,1.49766,0.89719,1.01586,0,0.86223,0.82753,0.87342,0.71219,0.84436,0.80931,0.83691,0.61427,0.60441,1.05687,0.53488,0.92984,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6262.15,0.76932,1.46409,0.86889,1.00832,0,0.86058,0.83954,0.88246,0.71648,0.84183,0.82104,0.84657,0.61891,0.59821,1.04405,0.52346,0.92646,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6585.46,0.7644,1.46663,0.86093,1.00445,0,0.87946,0.83361,0.88538,0.7238,0.85982,0.81447,0.84867,0.62321,0.58639,1.0295,0.50008,0.92014,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6908.36,0.75986,1.45099,0.83586,1.00119,0,0.89005,0.84031,0.88905,0.72998,0.87003,0.82266,0.85362,0.62739,0.58724,1.03726,0.47892,0.9176,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7233.79,0.75146,1.44062,0.82899,0.99834,0,0.8862,0.8542,0.89358,0.7371,0.86827,0.8349,0.85948,0.63422,0.57511,1.01648,0.4755,0.91263,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7555.99,0.74597,1.42808,0.81617,0.99707,0,0.9159,0.8533,0.89377,0.74102,0.89772,0.83354,0.85863,0.63557,0.57111,1.00755,0.4656,0.91382,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7878.97,0.74013,1.41258,0.80331,0.9971,0,0.92177,0.8579,0.89352,0.73933,0.90495,0.83882,0.85987,0.63486,0.5733,0.99941,0.46334,0.91264,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8202.7,0.74121,1.42328,0.78995,0.99101,0,0.92775,0.85879,0.89694,0.7428,0.91291,0.83715,0.86203,0.64078,0.56712,0.99482,0.4564,0.90765,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8523.29,0.73489,1.40622,0.77287,0.98779,0,0.92895,0.85801,0.89866,0.74557,0.9078,0.83698,0.86127,0.63973,0.55859,0.99217,0.44431,0.90408,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8846.02,0.73042,1.39565,0.77155,0.9848,0,0.9027,0.86922,0.90361,0.75227,0.88413,0.84928,0.86746,0.64665,0.55528,0.98073,0.43246,0.90408,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9167.63,0.72706,1.39402,0.75693,0.98634,0,0.93264,0.8665,0.90446,0.75671,0.91642,0.84939,0.87274,0.64978,0.55139,0.97468,0.43013,0.89989,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9490.17,0.72449,1.39266,0.75739,0.98768,0,0.93565,0.86718,0.9054,0.75732,0.91808,0.84646,0.87269,0.65265,0.54647,0.9719,0.42792,0.90011,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9812.29,0.72074,1.37764,0.74281,0.98209,0,0.93877,0.86718,0.91386,0.76773,0.91861,0.84863,0.87911,0.65968,0.54151,0.97111,0.42048,0.89527,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10134.6,0.71568,1.373,0.74022,0.98376,0,0.93995,0.87304,0.90817,0.76375,0.92013,0.85318,0.87467,0.65687,0.53955,0.96295,0.40948,0.89312,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
